"InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"c1_HuAgeGBsplitRnaseq_215","TAPbyQNP__","User",3.91078614022162e-05
"c1_HuAgeGBsplitRnaseq_58","PSVZbyQSVZ__","User",3.91786388159636e-05
"c1_HuAgeGBsplitRnaseq_212","QNPbyTAP__","User",3.94120909941823e-05
"c1_HuAgeGBsplitRnaseq_964","PGBCbyQGBC__","User",4.71281194209642e-05
"c1_HuAgeGBsplitRnaseq_764","NPCbyNSC__","User",5.18690285233829e-05
"c1_HuAgeGBsplitRnaseq_36","PSVZbyQSVZ__","User",5.77183966654949e-05
"c1_HuAgeGBsplitRnaseq_287","QGBObyPGBO__","User",5.98353736310215e-05
"c1_HuAgeGBsplitRnaseq_32","PGBCbyQGBC__","User",6.76024928960278e-05
"c1_HuAgeGBsplitRnaseq_58","QSVZbyPSVZ__","User",7.91669431053357e-05
"c1_HuAgeGBsplitRnaseq_17","NSCbyNPC__","User",9.52555458057239e-05
"c1_HuAgeGBsplitRnaseq_156","NSCbyNPC__","User",9.58613142039722e-05
"c1_HuAgeGBsplitRnaseq_23","PGBCbyQGBC__","User",0.000101216182940926
"c1_HuAgeGBsplitRnaseq_295","PSVZbyQSVZ__","User",0.000103530777789843
"c1_HuAgeGBsplitRnaseq_215","QSVZbyPSVZ__","User",0.000103882398340923
"c1_HuAgeGBsplitRnaseq_12","QSVZbyPSVZ__","User",0.000129738789691446
"c1_HuAgeGBsplitRnaseq_12","NPCbyNSC__","User",0.000129816146393879
"c1_HuAgeGBsplitRnaseq_832","PGBCbyQGBC__","User",0.00014746074368194
"c1_HuAgeGBsplitRnaseq_63","QGBObyPGBO__","User",0.000152460782820288
"c1_HuAgeGBsplitRnaseq_189","PSVZbyQSVZ__","User",0.000154955907182355
"c1_HuAgeGBsplitRnaseq_178","QSVZbyPSVZ__","User",0.000157682435364032
"c1_HuAgeGBsplitRnaseq_89","QSVZbyPSVZ__","User",0.000162094930261693
"c1_HuAgeGBsplitRnaseq_331","TAPbyQNP__","User",0.000187634272075651
"c1_HuAgeGBsplitRnaseq_61","NSCbyNPC__","User",0.000188584619036932
"c1_HuAgeGBsplitRnaseq_329","QSVZbyPSVZ__","User",0.000193177433842949
"c1_HuAgeGBsplitRnaseq_212","QGBObyPGBO__","User",0.000208008928987269
"c1_HuAgeGBsplitRnaseq_61","NPCbyNSC__","User",0.000234267554873826
"c1_HuAgeGBsplitRnaseq_189","PGBCbyQGBC__","User",0.000249929518080224
"c1_HuAgeGBsplitRnaseq_162","NPCbyNSC__","User",0.000260213999791194
"c1_HuAgeGBsplitRnaseq_89","NSCbyNPC__","User",0.000285985367328809
"c1_HuAgeGBsplitRnaseq_332","PGBCbyQGBC__","User",0.00028876669266137
"c1_HuAgeGBsplitRnaseq_23","NPCbyNSC__","User",0.000302987829600001
"c1_HuAgeGBsplitRnaseq_690","PSVZbyQSVZ__","User",0.000304713837660896
"c1_HuAgeGBsplitRnaseq_332","TAPbyQNP__","User",0.000394290169967051
"c1_HuAgeGBsplitRnaseq_156","NPCbyNSC__","User",0.000409704048837738
"c1_HuAgeGBsplitRnaseq_61","PSVZbyQSVZ__","User",0.000510064299054871
"c1_HuAgeGBsplitRnaseq_47","QSVZbyPSVZ__","User",0.000546939532647449
"c1_HuAgeGBsplitRnaseq_56","NPCbyNSC__","User",0.000552754899066133
"c1_HuAgeGBsplitRnaseq_54","TAPbyQNP__","User",0.000575914495623019
"c1_HuAgeGBsplitRnaseq_12","PGBObyQGBO__","User",0.000714735699664636
"c1_HuAgeGBsplitRnaseq_39","QSVZbyPSVZ__","User",0.000757789553804687
"c1_HuAgeGBsplitRnaseq_52","TAPbyQNP__","User",0.000770730372519109
"c1_HuAgeGBsplitRnaseq_158","QSVZbyPSVZ__","User",0.000794799266696886
"c1_HuAgeGBsplitRnaseq_292","QSVZbyPSVZ__","User",0.000804623612855715
"c1_HuAgeGBsplitRnaseq_82","QSVZbyPSVZ__","User",0.000819625741501116
"c1_HuAgeGBsplitRnaseq_41","QGBCbyPGBC__","User",0.000840969924459758
"c1_HuAgeGBsplitRnaseq_1614","PGBCbyQGBC__","User",0.000946587195528401
"c1_HuAgeGBsplitRnaseq_51","QSVZbyPSVZ__","User",0.000957641283439942
"c1_HuAgeGBsplitRnaseq_51","PGBCbyQGBC__","User",0.00108593086195076
"c1_HuAgeGBsplitRnaseq_101","PSVZbyQSVZ__","User",0.00111239418881262
"c1_HuAgeGBsplitRnaseq_293","PGBCbyQGBC__","User",0.00120517725852591
"c1_HuAgeGBsplitRnaseq_32","PSVZbyQSVZ__","User",0.00136892875858897
"c1_HuAgeGBsplitRnaseq_50","QSVZbyPSVZ__","User",0.00137470857868339
"c1_HuAgeGBsplitRnaseq_158","NPCbyNSC__","User",0.00142075909794567
"c1_HuAgeGBsplitRnaseq_29","NSCbyNPC__","User",0.00147221973770204
"c1_HuAgeGBsplitRnaseq_215","PSVZbyQSVZ__","User",0.00147698211716079
"c1_HuAgeGBsplitRnaseq_690","QSVZbyPSVZ__","User",0.00148022430772289
"c1_HuAgeGBsplitRnaseq_292","PSVZbyQSVZ__","User",0.00150656547513075
"c1_HuAgeGBsplitRnaseq_193","TAPbyQNP__","User",0.00150896627784628
"c1_HuAgeGBsplitRnaseq_55","QSVZbyPSVZ__","User",0.00154653038358327
"c1_HuAgeGBsplitRnaseq_39","QNPbyTAP__","User",0.00158976548509477
"c1_HuAgeGBsplitRnaseq_675","PGBObyQGBO__","User",0.0017355174850625
"c1_HuAgeGBsplitRnaseq_38","NPCbyNSC__","User",0.00173848765629468
"c1_HuAgeGBsplitRnaseq_35","QGBObyPGBO__","User",0.00189656209026793
"c1_HuAgeGBsplitRnaseq_45","NSCbyNPC__","User",0.00198701566715857
