"","PSVZbyQSVZ","AveExpr","F","P.Value","adj.P.Val"
"Clspn",5.76839054842041,5.46915777493137,151.468589981156,0.000149866870855137,0.0158798952899735
"Rpl11",2.0125025144077,12.0967959246392,151.098374824275,0.00015064955799188,0.0158798952899735
"Nat8",-6.53747933217806,5.99204799990313,150.735459366828,0.000151422613599897,0.0158798952899735
"Fut9",-3.86660123025287,6.69243139732546,150.723505315508,0.000151448175596398,0.0158798952899735
"Nans",3.00771606860129,4.59641631991319,150.350271987204,0.000152249457684072,0.0158864179267919
"Btbd17",-3.19652612159331,8.1319021974757,149.670934480395,0.000153723859366766,0.0159627746719257
"Fam60a",6.04165961989763,6.42112934496163,148.943941371092,0.000155324874605752,0.0159648491243905
"E2f1",5.79849351500006,6.11626398789301,148.07067959867,0.000157280363213764,0.0159648491243905
"Mbnl2",-3.0492170337012,9.942197237692,147.960123435988,0.000157530488706399,0.0159648491243905
"Pcna",2.74203494128594,11.4899964428778,147.90370556699,0.000157658353801519,0.0159648491243905
"Mfap4",4.1376206320821,4.39073841092841,147.755751940781,0.000157994394936515,0.0159648491243905
"Fbxo2",-4.48696534063297,7.59701436509979,147.342261367835,0.000158939098831786,0.0159648491243905
"Sox9",-2.45724555269813,9.75609974960757,147.034773356356,0.000159646969745052,0.0159648491243905
"Pde3b",5.09877788196251,5.35533977927656,147.018038345752,0.000159685627436332,0.0159648491243905
"Rps5",2.14758259495573,11.5737516701124,146.316803192323,0.000161317826206474,0.0160533642329081
"Rps15a",1.79329831599407,12.7025066308493,144.576810200216,0.000165474485847047,0.0163911247616694
"Gucy1a3",-4.29635319728418,5.74067114661413,143.034778873228,0.000169290131907024,0.0166921623180802
"Aurka",6.78240524287699,6.4801314683368,141.491941857271,0.000173237590950955,0.0169802448817838
"Ednra",-3.95445874499697,4.63632268033179,141.279451682027,0.000173791759664686,0.0169802448817838
"LOC102643033",3.65229311394887,4.63350147903204,140.440823184386,0.000176004313386545,0.0170960802224109
"Sgcb",-4.42417584627213,6.66055783608034,140.084075004134,0.000176957994311997,0.0170960802224109
"Tk1",6.01155854808221,5.66487258187441,139.686070609756,0.000178030885696436,0.0170960802224109
"Mrpl52",2.34840919811444,10.3090432808405,139.464114607731,0.000178633333237163,0.0170960802224109
"Hypk",1.96786945251928,11.0289733004998,139.34638707919,0.000178954084672828,0.0170960802224109
"Suv39h2",5.50252282806414,5.55861633608967,137.909646381987,0.000182937146992302,0.0172791446036739
"Tgif2",6.44502889819195,6.4685452023028,137.834579059856,0.000183148798801187,0.0172791446036739
"Nop56",2.68017618111299,8.20244368118874,137.510097972272,0.00018406779245532,0.0172791446036739
"Usp21",3.13807539172802,5.95040454798519,137.503765994411,0.000184085792707203,0.0172791446036739
"Ckap2l",6.10128548664578,6.34085707345601,136.072697108599,0.000188220780336738,0.0175904594492965
"Pde8b",-4.33193357307845,6.40620061040699,134.34009830483,0.000193410785765604,0.0179972503897475
"Paqr7",-5.83199501964846,6.14053202088048,133.70845243969,0.000195354885577867,0.0180997985581735
"Cyp7b1",-6.56095930545485,6.08643049102273,133.39629532363,0.000196326191853204,0.0181117231497194
"Plk4",6.55157933588978,5.86075216866605,132.854861392586,0.000198027698475746,0.0181906212766502
"Rcor2",4.24115048257833,5.34784992128041,132.193503519025,0.000200135415799602,0.0183060032451594
"Aldoa",-3.23917209515993,11.421572644333,130.78418745176,0.000204737398121665,0.018647586324683
"Cdk2ap1",3.14902880112106,10.7935115940762,130.460849225206,0.000205814981036397,0.0186617377453239
"Lrrc16a",-3.2009438185605,6.11170837061561,130.218183881412,0.000206629150192467,0.0186617377453239
"Mfge8",-1.58483589650983,13.26678743249,129.554692747921,0.000208879370269303,0.0187860337403292
"Rps28",1.03311032858623,13.8664331833302,128.806909263593,0.000211458567338731,0.0188907639945179
"Slc44a1",-6.34258426789996,6.50587617890368,128.603616570087,0.000212167779902611,0.0188907639945179
"Slc15a2",-5.78837255546344,7.76680685781012,128.393627880542,0.000212904001316255,0.0188907639945179
"Clmn",-6.09390618649932,6.13205006053535,128.206269932026,0.000213564029343949,0.0188907639945179
"E2f2",4.30301679165302,4.73647089654767,127.950953324786,0.000214468278881214,0.0188907639945179
"Asxl2",2.55079798791733,5.97454797056632,127.712762428382,0.000215316919221069,0.0188907639945179
"Rrp1b",3.34687842599056,6.54683972154227,127.397846165824,0.00021644646046168,0.0189126693805846
"Nr1d1",-3.80015722531487,8.26199237484846,126.924986835805,0.000218158812119985,0.0189760899438016
"Rps19",3.08963852354268,10.5867762139134,126.69588954444,0.000218995549162608,0.0189760899438016
"Birc5",6.9668907600574,6.12899135969622,126.447044722362,0.000219909725214108,0.0189760899438016
"Vnn1",3.84799956622334,4.50896228383283,126.097232118062,0.000221204265878091,0.0189760899438016
"AI464131",-5.65073542868426,7.63035636524948,125.994555303181,0.000221586349192566,0.0189760899438016
"Baalc",-5.58840828927961,8.97378457937986,125.424351869777,0.000223725824229217,0.0190241260210244
